thread_num;block_num;read_horizontal_slices;read_vertical_slices;write_horizontal_slices;LBM_step
512;1024;0.009417;0.004107;0.010418;16.118685
512;4096;0.016522;0.004859;0.017803;15.595695
512;16384;0.048951;0.008921;0.050164;15.870166
1024;1024;0.011408;0.004686;0.012705;15.988585
1024;4096;0.02769;0.006058;0.028496;16.045815
1024;16384;0.090872;0.013649;0.091655;17.183403
64;1024;0.009734;0.004266;0.01057;22.331499
64;4096;0.00915;0.004588;0.010212;18.207033
64;16384;0.0114;0.008991;0.012783;15.289855
128;1024;0.009241;0.004237;0.010092;22.457376
128;4096;0.009534;0.004895;0.010983;16.271128
128;16384;0.016873;0.009071;0.01826;15.115376
256;1024;0.009422;0.004374;0.010254;17.781961
256;4096;0.011173;0.004579;0.012451;15.659215
256;16384;0.027675;0.008817;0.028936;15.469839
